model,rule,fields,governance_fields,pushdownable,reason
mrp.workcenter.productivity,mrp_workcenter_productivity multi-company,company_id,company_id,True,simple
mrp.workorder,mrp_workorder multi-company,company_id,company_id,True,simple
project.collaborator,Project/Collaborator: portal users: can only see his own collobaroration in shar,"partner_id,privacy_visibility",partner_id,False,multi-field
project.milestone,Project/Milestone: Project manager can see all project milestones,(none),(none),False,no-field
project.milestone,Project/Milestone: multi-company,company_id,company_id,False,or/not
project.milestone,Project/Milestone: employees: follow required for follower-only projects,"message_partner_ids,privacy_visibility,user_id","message_partner_ids,user_id",False,or/not;multi-field
project.milestone,Project/milestone portal users: portal user can read with project sharing featur,"partner_id,privacy_visibility",partner_id,False,multi-field
project.project,Project: project manager: see all,(none),(none),False,no-field
project.project,Project: multi-company,company_id,company_id,True,simple
project.project,Project: employees: following required for follower-only projects,"message_partner_ids,privacy_visibility",message_partner_ids,False,or/not;multi-field
project.project,Project: portal users: portal and following,"message_partner_ids,privacy_visibility",message_partner_ids,False,multi-field;op:child_of
project.project.stage,Project Stage: multi-company,company_id,company_id,True,simple
project.task,Project/Task: portal users: can only see a task if he's a collaborator of the pr,"active,collaborator_ids,limited_access,message_partner_ids,partner_id,privacy_visibility","collaborator_ids,message_partner_ids,partner_id",False,"or/not;multi-field;op:any,child_of"
project.task,Project/Task: multi-company,company_id,company_id,True,simple
project.task,Project/Task: employees: follow required for follower-only projects,"message_partner_ids,privacy_visibility,project_id,user_ids","message_partner_ids,user_ids",False,or/not;multi-field;op:!=
project.task,Project/Task: project users: follow required for follower-only projects,"message_partner_ids,privacy_visibility,project_id,user_ids","message_partner_ids,user_ids",False,or/not;multi-field;op:!=
project.task,Project: See private tasks,"parent_id,privacy_visibility,project_id,user_ids",user_ids,False,or/not;multi-field;op:!=
project.task,Project/Task: employees: Full access to own private task only,"parent_id,project_id,user_ids",user_ids,False,multi-field
project.task,Project/Task: project manager: see all tasks linked to a project or its own task,"project_id,user_ids",user_ids,False,or/not;multi-field;op:!=
project.task.stage.personal,Project: See my own personal stage,user_id,user_id,True,simple
project.task.type,Project/Task Type: manager sees all,(none),(none),False,no-field
project.task.type,Project/Task Type: see own or unowned stages,user_id,user_id,True,simple
project.task.type,Project/Task Type: write own stages,user_id,user_id,True,simple
project.update,Project updates : Project user can see all project updates,(none),(none),False,no-field
project.update,Project/Updates: multi-company,company_id,company_id,False,or/not
project.update,Project/Update: employees: follow required for follower-only projects,"message_partner_ids,privacy_visibility,user_id","message_partner_ids,user_id",False,or/not;multi-field
purchase.bill.union,Purchases & Bills Union multi-company,company_id,company_id,True,simple
purchase.order,Purchase Order multi-company,company_id,company_id,True,simple
purchase.order,Portal Purchase Orders,partner_id,partner_id,False,op:child_of
purchase.order.line,Purchase Order Line multi-company,company_id,company_id,True,simple
purchase.order.line,Portal Purchase Order Lines,partner_id,partner_id,False,op:child_of
purchase.report,Purchase Order Report multi-company,company_id,company_id,True,simple
repair.order,repair order multi-company,company_id,company_id,True,simple
sale.order,All Orders,(none),(none),False,no-field
sale.order,Sales Order multi-company,company_id,company_id,True,simple
